Date/Time,"Steam flow 
(t/h)","Export power.
(MW)","Post combustion 
temp. C","Flue gas temp inlet 
bag filter temp. C","IDF Running 
(PV Control.) %","RGF Running 
(PV Control.) %",Sootblow,"PAF Running 
(PV Control.) %",Problem
10/12/2025 13:00 ¹.,41,7.234,969.3,164.4,89.4,92.3,0,57.9,0
10/12/2025 14:00 ¹.,39,6.743,966.5,165.7,91.2,89,0,58.3,0
10/12/2025 15:00 ¹.,39,6.717,954.6,162.5,91,90.1,0,59.3,0
10/12/2025 16:00 ¹.,42,7.385,963.7,159.8,90.1,91.9,0,60.2,0
10/12/2025 17:00 ¹.,42,7.253,946,161.1,91.1,90.5,0,62.1,0
10/12/2025 18:00 ¹.,40,7.081,944.8,160.9,92.9,86.3,0,64.9,0
10/12/2025 19:00 ¹.,42,7.595,989.8,163.7,93.7,90.9,0,64.1,0
10/12/2025 20:00 ¹.,44,7.898,988.7,164.8,94.5,90.2,0,64.8,0
10/12/2025 21:00 ¹.,39,6.973,951.2,164.2,93.7,90.2,0,64.8,0
10/12/2025 22:00 ¹.,40,7.254,976.8,166.4,95.2,92.6,0,64.8,0
10/12/2025 23:00 ¹.,44,8.051,1008.1,168.4,96.4,94.5,0,64.8,0
10/12/2025 0:00 ¹.,43,7.69,1005.6,170.5,98.2,93.1,0,64.1,0
11/12/2025 1:00 ¹.,42,7.459,963.2,169.1,93,95.2,0,60.5,0
11/12/2025 2:00 ¹.,43,7.623,1002.7,167,89.4,93.9,0,57.4,0
11/12/2025 3:00 ¹.,39,6.706,939.2,164.6,87.9,90.6,0,57.3,0
11/12/2025 4:00 ¹.,43,7.801,1033.8,167.6,93.3,92.7,0,58.3,0
11/12/2025 5:00 ¹.,39,6.882,961.6,168,93.7,91.7,0,57.6,0
11/12/2025 6:00 ¹.,33,5.619,894.5,164.9,91,90.2,0,56.7,0
11/12/2025 7:00 ¹.,36,6.372,914.8,157.9,88.2,90.4,0,55.8,0
11/12/2025 8:00 ¹.,39,6.856,920.8,158.7,87.7,90.8,0,59.6,0
11/12/2025 9:00 ¹.,40,7.089,918.6,161.1,91.2,91.3,0,61.8,0
11/12/2025 10:00 ¹.,43,7.616,958.5,162.5,92.8,90.2,0,64.8,0
11/12/2025 11:00 ¹.,42,7.528,954.4,164.9,93.8,90.9,0,65.8,0
11/12/2025 12:00 ¹.,43,7.736,981,166.1,94,91.3,0,65.8,0
11/12/2025 13:00 ¹.,41,7.259,958.8,165,94.1,92,0,64.1,0
11/12/2025 14:00 ¹.,43,7.713,998.3,164.8,91.1,90.2,0,62.2,0
11/12/2025 15:00 ¹.,44,7.992,999.5,165.6,93.9,94.3,0,62.4,0
